label,youtubeid,spilt
blowing_leaves,mf21EBmUtno_000151_000161,train
playing_organ,yQF3DqcAL_Q_000018_000028,train
waxing_chest,ZFxvlseqbbc_000041_000051,train
shot_put,jZOXXINM3g4_000024_000034,train
milking_cow,91yJFfmnq90_000095_000105,train
crying,DQpUNY7oOW4_000039_000049,train
bookbinding,u7Daec6UkCk_000013_000023,train
javelin_throw,auytE0f07FM_000010_000020,train
cooking_on_campfire,AzxYTNWxEd0_000562_000572,train
rock_scissors_paper,HhwMuHOctnw_000015_000025,train
cooking_sausages,CmsdWxvEPPo_000141_000151,train
laughing,E0pirxTrCn4_000053_000063,train
changing_oil,R-3qMpEbno8_000240_000250,train
drinking,oILignASNLA_000119_000129,train
peeling_potatoes,Jy9PtTZdWO4_000003_000013,train
opening_present,t3k3WAJE9Jc_000036_000046,train
shot_put,wjzs9-hxvNA_000008_000018,train
roller_skating,F0AB1fsV3Rw_000200_000210,train
water_skiing,jPrixNTmQj0_000016_000026,train
frying_vegetables,JHVOMtE8l68_000157_000167,train
archery,efQap8tbHeM_000094_000104,train
cooking_sausages,w0mH4NiSO1E_000322_000332,train
catching_or_throwing_baseball,krmr88CLKTY_000020_000030,train
holding_snake,9yi4GRDz3Ao_000005_000015,train
kitesurfing,kJ-PmYgcRbA_000040_000050,train
grooming_horse,FyRi6xnugMk_000003_000013,train
climbing_ladder,Qalo7b890GU_000023_000033,train
catching_or_throwing_softball,LApAf3D_8ns_000064_000074,train
snowkiting,GfFrfE80MgM_000007_000017,train
scuba_diving,aLPuTCKGhEM_000047_000057,train
driving_car,bYqvpe68nSQ_000046_000056,train
tasting_food,GtpTsOz1b-M_000195_000205,train
massaging_feet,O_lm_AZ7aR4_000004_000014,train
sign_language_interpreting,__i9pst9XRQ_000073_000083,train
bending_back,G0c6gkdadHc_000063_000073,train
cutting_nails,bnrBOMlOgZg_000010_000020,train
air_drumming,pVJ6r3L-9kI_000085_000095,train
passing_American_football_(in_game),_uB7mr-C6Ic_000001_000011,train
marching,U6WmWHUdpLY_000009_000019,train
trapezing,jpNfjDD6PM0_000026_000036,train
playing_squash_or_racquetball,hR6PtBiWneE_000137_000147,train
washing_feet,yptkMpWplQ0_000148_000158,train
gymnastics_tumbling,E3B0GmK63uE_000294_000304,train
golf_driving,S5_Iy5kGgpc_000003_000013,train
trapezing,plNoBkmsuxY_000545_000555,train
brushing_hair,cRaKh5kVxMA_000113_000123,train
kicking_field_goal,qYu1lRbZXfI_000000_000010,train
springboard_diving,MDm6Hg7olFw_000097_000107,train
pushing_car,dLTp0Ve3iGQ_000012_000022,train
skiing_(not_slalom_or_crosscountry),5DqhW4Bvi04_000138_000148,train
hula_hooping,-eMSRQ8bd9c_000055_000065,train
country_line_dancing,ddPeKQE0wDA_000135_000145,train
setting_table,z9uiI9Ww12E_000178_000188,train
jumpstyle_dancing,UdwYl4OI9F0_000164_000174,train
doing_laundry,8bHd6Ah214M_000073_000083,train
dancing_ballet,NQWyeunOWUs_000119_000129,train
disc_golfing,dQhX6B640DA_000014_000024,train
hockey_stop,vNmcz_wPYr0_000201_000211,train
eating_ice_cream,NICQ3V9iBd8_000013_000023,train
jetskiing,Tq1-_tCKavM_000002_000012,train
swinging_legs,cNJwH9eWQ9M_000018_000028,train
eating_carrots,9J6dHuL_oww_000003_000013,train
brushing_teeth,7r2AG90OJa8_000185_000195,train
playing_saxophone,mAH1nANBYD4_000082_000092,train
beatboxing,joVe6zurl7Y_000002_000012,train
texting,9kJwk16Tjy4_000033_000043,train
surfing_crowd,Js437c8Oqzw_000023_000033,train
canoeing_or_kayaking,Pcb7Rh0sPqo_000162_000172,train
tango_dancing,DZlF29ZZM9o_000000_000010,train
tying_knot_(not_on_a_tie),DoPHYInJkQc_000001_000011,train
drop_kicking,AS6k7hPeAfc_000004_000014,train
petting_animal_(not_cat),V2OawmOuAnY_000094_000104,train
tango_dancing,5zNz4gQtbDI_000051_000061,train
folding_clothes,u7_op3WzuvU_000018_000028,train
throwing_ball,W9rQFIk9z4A_000002_000012,train
sharpening_pencil,Nn7jq-D0LjA_000001_000011,train
milking_cow,_7wa_fYlhgc_000158_000168,train
cleaning_toilet,e2djxth7SXo_000178_000188,train
riding_camel,ILgYWSGvLAQ_000006_000016,train
pumping_fist,_X5lC_k9xPo_000000_000010,train
training_dog,u2HGRZXfvGA_000033_000043,train
juggling_balls,OcjxBNzkF0U_000003_000013,train
cleaning_floor,I0S9pyE9zbU_000026_000036,train
zumba,t-CY09RijQ0_000000_000010,train
dancing_ballet,9CujKAK6b7s_000031_000041,train
peeling_potatoes,nCSub68NbJI_000012_000022,train
sign_language_interpreting,CQRKWaG-ez8_000269_000279,train
playing_bagpipes,FBsypPLo7zg_000023_000033,train
water_skiing,Z7aNISjxTfI_000026_000036,train
brushing_hair,3I6LMFdA2lc_000075_000085,train
eating_hotdog,T-DrjE0shc4_000072_000082,train
playing_ukulele,gdt6c80qU28_000000_000010,train
passing_American_football_(not_in_game),4FpY8oqe130_000009_000019,train
swing_dancing,RLJ-6HQnV8w_000052_000062,train
diving_cliff,3NZtyAd--Yw_000030_000040,train
riding_mountain_bike,b250DoDhkZs_000030_000040,train
laying_bricks,kYdRLKA4A3s_000021_000031,train
bending_metal,oD3fK5PqOQc_000001_000011,train
dancing_ballet,kocty0fJYXs_000170_000180,train
cleaning_pool,nT300FY6-ro_000363_000373,train
driving_car,TE1ouSa6rpU_000041_000051,train
snowkiting,az4ImvtHzLw_000045_000055,train
milking_cow,hO8P9x0RUTY_000001_000011,train
hurling_(sport),oELCmDdUrZs_000225_000235,train
snatch_weight_lifting,BmU3Lx-GCTA_000011_000021,train
throwing_ball,pVtB7rewtkE_000000_000010,train
paragliding,JDfabred3mo_000014_000024,train
eating_watermelon,ze0MVJOqc_s_000003_000013,train
playing_accordion,CdbVhBQMnG8_000000_000010,train
pole_vault,-EwzDkRwcDk_000090_000100,train
laughing,R1lZRWAnSzI_000036_000046,train
sticking_tongue_out,GRd8n3k7p-A_000012_000022,train
disc_golfing,3_bThppoIis_000001_000011,train
answering_questions,9vVZQhUVyH8_000073_000083,train
doing_laundry,BGSWS2SB6i8_000040_000050,train
cleaning_shoes,JFhGckCH05U_000037_000047,train
long_jump,u9RYWGxL_xc_000005_000015,train
petting_cat,ecWGmnls3Fw_000000_000010,train
playing_basketball,qwe6HsVP0Q4_000004_000014,train
riding_scooter,shGIywBAqnQ_000052_000062,train
drinking,Cnop82sg9rY_000097_000107,train
clean_and_jerk,oXuSR6WsRbs_000006_000016,train
kitesurfing,Bv41neksp8M_000013_000023,train
eating_ice_cream,qLvY9t7_Gvo_000039_000049,train
news_anchoring,oQ18pUZAf_M_000077_000087,train
getting_a_haircut,E7Hyh6sauJk_000012_000022,train
peeling_apples,WfHGY2vq6-c_000040_000050,train
waiting_in_line,0KJsJo3pMUQ_000001_000011,train
diving_cliff,MK_O06oF9wY_000006_000016,train
cleaning_windows,HIkU_F8DuHY_000004_000014,train
scuba_diving,e_VBzX1e8Zc_000016_000026,train
drop_kicking,FPof-7dOhxg_000000_000010,train
zumba,yAbpsFZiPgw_000407_000417,train
making_pizza,GhM1qQ6IA80_000171_000181,train
drinking,aNDXwxbHrTg_001173_001183,train
tying_bow_tie,hhIUBxu8DLM_000092_000102,train
belly_dancing,IAPvgb1OjWc_000221_000231,train
dribbling_basketball,VPcS_aO20Ns_000003_000013,train
faceplanting,IYIJGR5YCag_000004_000014,train
catching_fish,3VX5ToxVK-I_000014_000024,train
playing_badminton,k2lop-0RQOw_000002_000012,train
punching_bag,9WQ-ArrkExg_000004_000014,train
playing_bass_guitar,KxwOcFwy1-s_000246_000256,train
grooming_horse,uTENBIv3KRQ_000052_000062,train
hula_hooping,FZ0oSHa0VfY_000037_000047,train
breakdancing,URy_QjQVDTg_000298_000308,train
pumping_gas,B_nDbFUJ91w_000032_000042,train
presenting_weather_forecast,OF8W0d76gYg_000081_000091,train
eating_doughnuts,7Ujg0bSTsxc_000001_000011,train
hula_hooping,jjVIlO2xugo_000189_000199,train
riding_a_bike,qj3hJn5_J7I_000057_000067,train
peeling_potatoes,_zwTVWh95iI_000002_000012,train
headbutting,8QUKCxO7TAc_000000_000010,train
climbing_tree,DG0FtpbwKls_000149_000159,train
shooting_goal_(soccer),DQu-yfkbpB0_000187_000197,train
passing_American_football_(in_game),AgaAvBzjB4I_000004_000014,train
curling_hair,JV75vsngHF8_000037_000047,train
peeling_potatoes,frf-9QttYmw_000035_000045,train
mopping_floor,OrFphfzFy5c_000112_000122,train
riding_camel,CoL9HtEHuKA_000043_000053,train
making_pizza,GTLAJF6X7Xw_000017_000027,train
washing_hair,LzrGY477qAE_000123_000133,train
catching_or_throwing_softball,lzUPCIpWsyk_000034_000044,train
playing_guitar,DY9AWuawLO0_000204_000214,train
smoking_hookah,j94sva0YCLg_000006_000016,train
abseiling,9EYSXPShv9k_000002_000012,train
jumpstyle_dancing,O2U-N6JqNjI_000000_000010,train
tying_bow_tie,8jhFbBFohkA_000051_000061,train
checking_tires,FYJkx65jTvk_000034_000044,train
cooking_on_campfire,RgOh1pxQc9g_000239_000249,train
playing_guitar,njEX4eOzOI4_000054_000064,train
snorkeling,CgRW0tX9_zU_000067_000077,train
golf_chipping,PINh4PmBRwM_000113_000123,train
dining,-1z6wTJmBIU_000002_000012,train
driving_tractor,lMueCiuH9u8_000004_000014,train
playing_cricket,PtgOMLtydLA_000058_000068,train
roller_skating,c5SX7ft2UXM_000204_000214,train
washing_hair,qZ0s2gLB5w8_000005_000015,train
playing_tennis,RvgVgnCqaKw_000008_000018,train
eating_ice_cream,3X9Khk6wfXE_000122_000132,train
doing_nails,AiIa1zAYG0Q_000098_000108,train
tossing_coin,53QastUwyZw_000027_000037,train
waxing_legs,dsAkHV-lzIg_000576_000586,train
roller_skating,qNixsgp_FOk_000022_000032,train
laying_bricks,MdbbiHK-ml0_000000_000010,train
kissing,csMXailxf70_000020_000030,train
drinking,xQAtzz_UIBU_000097_000107,train
carving_pumpkin,gsR8jj0h2-w_000112_000122,train
headbutting,xB8c7OXOSXg_000003_000013,train
braiding_hair,31xrmIF7WBU_000098_000108,train
dancing_ballet,l_1sjSOTGdQ_000054_000064,train
feeding_birds,ugQFCmEKIHk_000037_000047,train
playing_paintball,fZkK2a_6jwU_000120_000130,train
auctioning,Hi2tMGpFjao_000084_000094,train
scrambling_eggs,A6-4rMBC0kg_000014_000024,train
parasailing,EPCsjFo4MBk_000034_000044,train
playing_guitar,ZO6WEbRyKzE_000043_000053,train
chopping_wood,8RUGnxg10mM_000060_000070,train
vault,qmgs6IRHRGA_000018_000028,train
country_line_dancing,rXlxPSbX0Tw_000124_000134,train
playing_didgeridoo,6MGv8R-E_tI_000055_000065,train
playing_bagpipes,N0ntmNPk38c_000250_000260,train
pushing_wheelchair,EFUzP8wGiNw_000000_000010,train
skipping_rope,iUDcOl6v3cw_000096_000106,train
making_snowman,JRYCDCRFyi0_000409_000419,train
canoeing_or_kayaking,zGoVKM0P4UY_000194_000204,train
sword_fighting,vdaMktM2Gcs_000116_000126,train
washing_hair,lS02r0w50l8_000240_000250,train
petting_cat,jU-01Zi2zgg_000211_000221,train
welding,V4spmSz3Kto_000022_000032,train
recording_music,9gUmkCmmh8o_000279_000289,train
using_segway,69c7QqDvzE8_000012_000022,train
hockey_stop,6uPuU3XF_AY_000000_000010,train
opening_present,PXdWLhgBx5s_000139_000149,train
juggling_soccer_ball,0Z1uxgfM-5U_000041_000051,train
setting_table,ifClB-jVN3Y_000001_000011,train
shaving_legs,7MIpUxydswA_000049_000059,train
eating_chips,ALDrUvhk6E8_000017_000027,train
surfing_crowd,ZLDupUg5YSA_000005_000015,train
scuba_diving,OhpZOGKpqRQ_000186_000196,train
tai_chi,IAjuVFEMKoQ_000162_000172,train
spraying,NnreGbRmsdA_000131_000141,train
planting_trees,tb9p2N3DI2k_000082_000092,train
playing_recorder,1WqCoj7t4ik_000003_000013,train
high_kick,0XhfcX3oQSA_000012_000022,train
wrestling,dpAKgCSXc0Q_000013_000023,train
clay_pottery_making,pSqz__tyB5I_000037_000047,train
trimming_or_shaving_beard,CC6VPd4MXng_000002_000012,train
shoveling_snow,060M6aKGzh0_000073_000083,train
canoeing_or_kayaking,JDTEB4_Ph9k_000294_000304,train
sanding_floor,upFLEdKG-Rs_000033_000043,train
drinking_beer,lVrOXUI46EM_000000_000010,train
playing_xylophone,O4yQI8y1f30_000032_000042,train
playing_didgeridoo,QfmIGtOuJNE_000129_000139,train
crawling_baby,7LsFR5qYoWM_000052_000062,train
snowmobiling,U6z32QK4QVo_000018_000028,train
diving_cliff,1PhfiSAqPFM_000015_000025,train
bee_keeping,PRWFAY4SFX0_000103_000113,train
bandaging,sfgDrQv7S1I_000237_000247,train
strumming_guitar,vyyfe482DAM_000000_000010,train
sharpening_knives,UuGx1KmJcHg_000044_000054,train
exercising_with_an_exercise_ball,q-ek57lLOYI_000011_000021,train
snorkeling,AJqKuQ-OJKw_000177_000187,train
ironing,79nrlkVcUAI_000000_000010,train
folding_paper,WUsQ_UorfiI_000091_000101,train
throwing_discus,MrWhF5lRPPk_000005_000015,train
playing_controller,CyXEqzD-J2U_000302_000312,train
waxing_legs,2edXq_OIMJ0_000212_000222,train
breading_or_breadcrumbing,Ph-45Y_QJaM_000040_000050,train
crying,CflJy5TNgDY_000004_000014,train
building_cabinet,neuQ7T53-q0_000102_000112,train
doing_laundry,f0bBX4IrYuM_000287_000297,train
opening_bottle,MicOS9LKd6w_000004_000014,train
riding_or_walking_with_horse,LV0KDbsmduQ_000104_000114,train
hurling_(sport),72fSNGToZaY_000017_000027,train
using_remote_controller_(not_gaming),Q5KDC9yFJIY_000058_000068,train
skiing_(not_slalom_or_crosscountry),VukShR1XGDI_000122_000132,train
cooking_on_campfire,ZWi3BdVV2Eg_000108_000118,train
mopping_floor,z5q8Vv5L5wk_000046_000056,train
ironing,nLjOYyUWzjY_000045_000055,train
juggling_soccer_ball,QkbNJwmyV-Q_000021_000031,train
playing_recorder,LvsSjb4w4M4_000252_000262,train
skiing_slalom,ZCqOG7YWL-w_000000_000010,train
garbage_collecting,ZnU6l-CdRuM_000044_000054,train
playing_keyboard,c9PZWSwTHzQ_000038_000048,train
crossing_river,5mA5TXNRs1c_000082_000092,train
bartending,A1GB9Em3838_000211_000221,train
playing_volleyball,icJUuKHs7kI_000121_000131,train
jumping_into_pool,gg1YoW0HsxQ_000002_000012,train
playing_clarinet,cY0uW5yd0y8_000270_000280,train
shaving_head,HsyEspepqhk_000000_000010,train
riding_unicycle,7DKGmvdlbUA_000096_000106,train
snowmobiling,8hAnnqxlS_Y_000052_000062,train
doing_nails,ffwXzVAEImM_000450_000460,train
using_segway,nDcR63-yJ-U_000009_000019,train
opening_bottle,IQEjdWcOSeY_000322_000332,train
tai_chi,ff0ZMpXGA0k_000055_000065,train
brush_painting,fNXW5haO2PE_000382_000392,train
making_a_cake,7ZeblPPUxnM_000551_000561,train
